,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
i listen to blues and jazz. i live in a tiny house to save money. i tend bar on the weekends. i collect single malt scotch. during the week i go to college to become a lawyer.,4,4,1,4,1,4,5,1,4,5,2,2,4,2,4,2,2,4,2,5,2,2,2,4,1,2,4,2,4,1,2,4,4,2,5,2,2,5,2,5,2,2,4,4,2,2,1,1,2,1,1,5,5,2,2,4,4,2,2,4
pizza is my most favorite thing. i like reading. i like being by myself. i enjoy taking late night walks when it s completely dark.,1,2,2,4,2,2,3,4,2,2,2,2,2,2,2,5,2,2,2,4,1,1,2,5,4,4,3,2,4,2,5,2,2,2,2,4,1,2,2,4,2,2,2,4,2,1,2,2,4,4,1,2,2,2,4,2,2,2,2,2
i have 2 brothers. i am a senior in high school. i am interested in producing music. i am going to start school at the university of kentucky.,3,4,2,3,1,3,5,2,4,4,1,2,4,2,4,2,1,2,4,5,2,2,2,4,2,2,4,4,4,1,2,4,2,2,5,2,2,4,2,4,4,2,4,4,2,2,1,2,2,1,1,4,4,2,2,4,4,2,2,4
i decided to become vegan a year ago. sometimes i volunteer at an urban farm. i work at the grocery store. i am vegan. i help around with bookkeeping and tours.,2,5,2,4,4,2,5,1,4,4,2,1,5,2,2,4,1,4,2,2,2,1,1,4,2,2,4,2,4,2,2,5,3,2,2,2,1,4,2,4,4,2,5,4,2,2,1,1,4,1,2,5,4,1,2,4,4,1,1,2
i am in a motorcycle club. i am a grown woman. i have gone 208 mph for for than 10 minutes. i have more then 10 tattoos.,5,2,1,5,1,5,5,2,5,5,2,1,5,5,5,2,1,2,5,4,5,2,2,5,1,2,4,5,5,2,2,5,1,1,5,2,5,5,1,5,5,5,5,2,2,5,5,1,5,5,2,4,5,1,1,5,1,5,2,5
i used to work as an actress. i love all animals. i love my job. my favorite music is country. i am a vegan.,5,5,2,4,1,4,5,1,5,4,1,1,5,2,4,2,1,2,2,4,2,1,2,5,2,2,5,2,4,1,2,5,3,2,5,2,1,4,2,5,5,2,5,2,2,5,1,1,2,1,2,5,5,1,2,5,5,2,2,5
"i am a carnivore. my favorite band is creed. my father is in prison. i enjoy running. i went on welfare last month , which makes me want to run into traffic in front of big trucks.",1,1,5,1,2,2,1,1,1,1,2,2,1,5,1,1,4,1,5,4,2,4,2,1,5,1,1,5,1,2,1,1,1,5,1,4,4,2,5,4,5,5,1,1,2,1,5,4,1,5,1,1,2,5,4,2,1,5,5,1
my brother is in a metal band and travels the world. i am in college now and want to be a teacher. i will be graduating in september and hope to get a teaching job soon. my family migrated to america when i was five.,2,4,2,3,2,2,5,1,4,4,2,2,4,2,2,2,1,4,2,4,2,1,2,4,2,2,4,2,4,2,2,4,4,2,4,2,1,4,2,4,3,2,4,4,2,2,1,1,3,2,2,5,4,2,2,4,4,2,2,2
i love to drive my car. i enjoy travel. i work in a factory.,2,3,2,3,4,2,4,1,4,2,1,2,4,2,2,2,1,2,2,1,2,1,2,4,5,2,3,2,4,2,2,3,2,2,2,2,1,4,1,2,4,1,4,4,2,2,1,2,4,2,1,4,4,1,4,5,3,2,1,2
i like to chat with my friends. i love to go out to eat with my family. i like to take drives in the country. i like to go to the movies.,5,4,2,4,4,2,4,2,3,3,2,1,4,2,2,2,1,2,2,2,2,1,2,4,5,2,4,2,4,2,2,4,2,2,2,2,1,2,2,2,3,1,3,3,2,5,1,1,4,1,2,4,2,1,4,4,4,2,1,2
my father worked for ge. i am an aspiring singer. i love animals. green is my favorite color. i enjoy playing tennis.,4,5,2,4,1,3,5,2,4,4,2,2,4,2,3,2,1,2,2,4,2,1,2,4,2,2,4,2,4,1,2,4,2,2,5,2,1,4,2,4,4,2,4,2,2,3,1,2,3,1,2,5,4,2,2,5,4,2,2,4
i love to travel. dogs are my favorite animal. i like to eat pizza. i enjoy cooking and baking.,4,5,2,4,2,3,5,1,4,5,1,1,4,2,4,2,1,2,2,2,2,1,2,4,5,2,4,2,4,2,2,4,3,2,3,3,1,3,2,3,4,1,4,3,2,3,1,1,4,1,2,4,2,1,2,5,4,2,2,3
i live on a small farm in ohio. my name is omar. i ve never been to the city. i play guitar in the local band.,2,5,2,4,1,2,5,2,4,2,2,2,4,2,3,4,2,2,2,4,2,2,2,4,4,2,4,4,4,1,4,5,2,2,4,4,2,4,2,2,3,2,5,4,2,2,2,2,4,2,2,5,5,2,4,4,4,2,2,3
i am a geology major at alabama university. i have a girlfriend of 7 years. i currently suffer from social anxiety. i watch every football game at alabama.,1,4,2,1,2,2,4,2,2,4,2,2,4,4,2,4,2,4,5,2,2,1,4,2,2,2,4,2,2,2,5,3,2,5,2,4,2,2,4,4,2,2,4,2,2,2,2,2,1,2,2,4,4,4,2,4,2,2,4,2
my favorite artist is bob ross. i am a vegan. i enjoy hiking. i got a job as an accountant 3 months ago.,2,5,1,5,1,2,5,2,5,4,2,1,5,2,2,4,1,5,2,5,2,1,2,4,2,2,4,2,4,2,4,5,5,2,5,4,1,4,2,4,2,2,5,4,2,2,1,1,4,2,2,5,4,2,2,4,4,2,1,2
i have purple hair. my favorite color is red. i like to play video games. i have 2 turtles. my favorite movie is gone with the wind.,2,2,2,2,1,4,4,2,4,5,2,2,3,2,4,2,2,2,2,4,2,2,2,4,2,2,3,4,2,1,2,2,2,2,4,2,2,2,2,4,4,2,3,2,2,3,2,2,4,2,2,4,4,2,2,5,4,2,2,5
i am an art teacher. sometimes i like to visit thrift shops. i like to recycle my thrift shop finds and make new items. i like to sew my own clothing. i enjoy clothing with exotic prints.,2,5,2,4,1,3,5,1,4,5,1,1,4,2,5,2,1,2,2,5,2,1,1,5,2,2,4,2,4,1,2,5,3,2,5,4,1,4,1,4,4,1,4,3,1,2,1,1,4,1,1,5,5,1,2,5,4,1,2,5
there are thorns tattooed on my toes. i am studying to be a dental hygienist but i hate seeing patient s saliva. i only wear silver jewelry. i work in a doctor s office.,2,4,2,2,2,4,5,1,4,4,2,2,4,4,4,2,2,4,4,2,2,2,2,5,2,2,2,4,2,2,2,5,4,4,5,2,2,5,2,5,4,4,4,4,2,2,4,1,2,4,2,4,5,2,4,2,2,2,4,5
"i am a hippie. i have two tattoos. i drive a large , blue van. i love to recycle. i have curly , red hair.",5,5,4,5,1,2,5,2,5,5,1,1,2,4,5,2,1,1,2,5,2,1,2,5,1,2,4,4,3,1,2,5,2,2,5,2,1,2,2,4,5,1,4,1,1,4,1,1,2,1,1,5,4,2,1,5,5,4,4,5
i am seventy one years old. i love to keep a small garden outside of my house. i love all sorts of fresh vegetables. my favorite food to harvest is carrots. my house is located in the countryside.,2,4,1,4,4,2,5,1,4,3,2,1,5,2,2,4,1,4,2,2,1,1,2,4,2,2,4,2,4,2,4,4,4,2,2,2,1,4,2,2,2,2,4,4,2,2,1,1,4,1,1,5,4,1,2,4,4,2,1,2
i work at a coffee shop. my sister and i are in a grunge band. i have an eyebrown piercing. both of my parents are teachers.,4,4,4,2,1,4,4,2,4,4,2,2,2,4,4,2,2,2,4,5,2,2,2,4,2,2,4,4,2,1,2,4,2,4,5,2,2,2,3,4,5,2,3,2,2,4,2,2,2,2,2,4,4,3,2,5,4,4,4,5
i was a navy brat and have attended 16 schools in 12 years. i make friends fast and say goodbye fast. i chew my nails. i am studying to be a special education teacher. i kayak at the lake on weekends.,5,5,2,2,2,3,5,1,4,4,2,2,2,2,2,2,1,2,4,2,2,1,2,2,2,1,4,4,2,1,2,5,2,4,2,2,1,4,2,4,4,2,2,2,2,4,1,1,2,2,1,5,4,2,2,4,4,2,2,3
i like to go to comic con. i play the guitar. i am a lesbian. i write short films. my father recently had a heart attack.,4,5,2,2,1,4,5,2,4,5,2,2,3,4,4,2,1,2,4,5,2,1,2,4,1,2,4,2,2,1,2,4,2,4,5,2,2,3,4,5,4,2,3,2,2,2,1,2,2,1,2,4,4,4,2,5,4,2,4,5
i just took a trip to london. i love to watch game shows. i m easily agitated. i m very religious.,2,2,2,1,2,2,3,1,2,2,1,5,2,5,1,1,2,2,5,2,2,4,4,2,2,2,2,2,1,2,2,4,2,5,3,2,2,2,2,4,2,4,2,1,2,2,2,1,1,2,2,2,4,2,2,5,2,2,5,2
i am a college student. my dad is a dentist and my mom is a teacher. my major is in business administration. i ve been in a relationship for 2 years.,4,4,2,3,4,3,5,2,4,4,2,2,4,2,3,2,2,4,4,2,2,2,2,4,2,2,4,2,4,4,2,4,4,4,3,2,2,4,2,4,3,2,4,4,2,3,2,2,2,2,2,4,4,2,2,4,4,2,2,3
i am married. i own my home. my car is blue. i live in colorado. i have an mba degree.,2,4,2,4,2,4,5,1,4,4,2,2,5,2,4,2,1,4,2,3,4,1,2,5,1,2,4,2,4,2,2,4,4,2,3,2,1,5,2,4,3,2,5,4,2,2,1,1,4,2,2,5,5,1,2,4,4,2,1,4
i am still living at home at age 30. i am currently trying to open my own grocery store. i am a volunteer firefighter. i am colorblind.,2,4,4,2,4,2,5,2,4,4,2,2,4,4,4,4,2,2,4,2,2,2,2,2,2,2,4,4,3,2,4,5,2,4,2,2,2,3,2,4,4,2,4,4,2,2,2,2,2,2,2,4,5,2,4,4,4,2,2,4
i watch youtube videos. i like sleeping. i have brown hair. i write.,2,3,2,4,2,2,4,4,2,2,2,1,2,2,2,4,2,2,2,4,2,1,2,3,2,4,3,3,3,2,4,2,2,2,4,4,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,2
i hate cleaning. i am italian american. i work in finance. my favorite color is blue. i paint with watercolors.,2,4,4,1,1,4,5,4,4,4,2,2,4,4,4,2,2,4,4,4,4,2,4,4,2,2,4,4,4,1,2,4,1,4,5,2,1,4,2,4,2,2,4,2,2,2,2,5,2,2,2,5,4,2,2,2,4,4,4,4
i take vitamin c when i have a cold. i am disabled and cannot walk. my favorite season is winter. i do not eat bread.,1,5,2,2,3,2,5,2,4,2,4,1,4,2,2,4,1,2,4,3,1,1,4,4,4,5,3,2,3,2,3,4,3,4,3,4,1,2,4,4,1,2,2,4,3,1,1,1,2,2,5,5,2,4,4,2,3,2,2,2
i play football. i drive a restored mustang. i am a college student. i like action movies. my father is a doctor.,5,2,2,4,4,4,5,1,4,4,1,2,4,2,4,2,2,2,4,2,4,2,2,4,2,1,4,4,4,2,2,4,2,2,2,2,2,4,2,2,5,2,4,4,2,2,2,2,4,2,2,4,5,1,4,5,4,4,2,3
"i like to write poetry. when i have nothing else to do , i read books. i used to be in the marines. i work as a bartender.",4,4,2,4,1,4,5,2,4,4,2,2,5,2,4,4,2,2,4,5,4,2,2,4,2,2,4,2,4,1,2,5,2,2,4,2,2,4,2,4,3,2,5,4,2,2,2,2,4,1,1,4,5,2,2,4,3,2,2,4
i like to use a lot of exclamation marks when i type. i have three dogs and two cats. playing quake on slackware linux makes me happy. i live in chicago.,4,5,2,2,1,5,5,1,5,5,1,1,4,1,5,1,1,1,2,2,2,1,1,5,1,1,4,4,4,1,1,5,1,1,2,1,1,4,3,4,5,1,4,1,1,5,1,1,1,1,1,4,5,3,1,5,4,4,4,5
my back hurts chronically. i am an old soul. i tend to work myself up. i am passionate about a lot of things. i just want my voice to be heard.,2,5,2,1,1,4,5,1,2,5,1,2,2,5,4,1,1,2,5,5,2,2,2,2,1,4,2,2,2,1,2,4,2,5,5,2,2,2,4,5,2,2,4,2,2,5,1,1,1,1,1,4,5,4,1,5,2,2,5,4
i love chocolate cake with extra frosting. i play guitar. i am a michigan state trooper. i have two siberian huskies.,4,5,2,4,1,5,5,1,5,4,1,2,5,2,5,2,1,4,4,4,5,2,2,5,2,1,4,2,4,1,2,5,2,2,4,2,2,5,2,4,5,2,5,4,2,2,1,2,4,1,1,5,5,1,2,5,4,2,2,4
"my family loves me , but keeps their distance. i blame myself for all of my problems. if i m not drinking , i m thinking , which makes me uncomfortable. i am constantly drinking.",1,1,4,1,4,1,2,2,1,1,5,2,1,5,1,4,2,1,5,1,1,2,4,1,4,4,1,5,1,2,4,1,1,5,1,4,2,1,5,4,1,4,1,1,2,1,2,4,1,2,2,2,1,5,4,1,1,5,5,1
i work for a large hospital. i am a doctor. i live in a large home. boating is my favorite activity.,4,5,1,4,2,4,5,1,4,4,1,1,5,2,4,2,1,4,2,2,5,1,1,5,1,1,4,2,5,1,2,5,4,2,2,1,1,5,1,5,4,2,5,5,1,4,1,1,4,1,1,5,5,1,2,4,4,1,1,4
i have two dogs. i travel every year to disney world. i like to read true crime novels. i work as a secretary at an insurance agency.,2,4,2,4,4,2,5,2,4,4,2,2,5,2,2,4,1,4,4,2,2,1,2,4,2,2,4,2,4,2,4,4,4,2,2,4,1,4,2,3,2,4,5,4,2,2,1,2,4,4,2,5,4,2,4,4,4,2,2,2
my favorite fruit is an apple. i am a marathon runner. i like to swim. i prefer winter over fall.,2,4,1,4,4,4,5,1,5,4,1,1,5,1,4,2,1,4,4,1,4,1,1,5,1,1,4,2,5,1,2,5,4,2,2,2,1,5,1,4,5,1,5,4,1,2,1,1,4,1,1,5,5,1,2,5,4,1,1,4
i always put my left sock on first. i have a condition that prevents me from going to high altitudes. spiders scare the life out of me. my mother raised me by herself while working two jobs. i pray to god for my family every morning.,1,5,1,2,3,2,5,1,4,2,2,2,5,2,2,4,1,5,4,2,2,1,2,3,4,2,5,2,3,2,4,5,4,5,2,4,1,4,4,5,2,2,5,4,2,2,1,1,1,2,2,5,5,2,4,2,4,2,4,2
i have played since i was 4 years old. i recently discovered a new love for indian food. i am a violinist. my mother was a nurse. i am gong to adopt a dog very soon.,3,5,2,4,1,3,5,1,4,5,2,2,4,2,4,4,1,2,4,5,2,1,2,5,2,2,4,2,4,1,2,5,3,2,5,2,1,4,2,4,4,2,4,4,2,3,1,2,4,1,2,5,5,2,2,5,4,2,2,4
i went to law school. i am an excellent baker. everyone says my pecan pie is the best they have ever had. my landlord is raising my rent. i was born on christmas day.,2,4,2,2,1,4,5,1,4,4,2,1,4,2,4,2,2,4,4,2,2,1,2,4,1,2,4,2,3,1,2,4,3,4,3,2,1,4,2,5,3,2,4,3,2,4,1,1,3,1,2,4,4,2,2,5,3,2,2,4
my favorite sport is hockey. my mom is a painter. i start my senior year of high school next week. my best friend just moved away. i went to japan this summer.,2,4,2,2,2,3,4,2,4,4,2,2,4,4,3,2,2,2,4,4,2,1,2,3,4,2,4,2,2,2,4,4,2,4,4,4,2,3,4,4,4,2,4,2,2,3,2,2,2,2,2,4,4,4,2,4,4,2,2,3
i like to create websites. i try to find easy ways to make money. i really enjoy reading the news. i love new technology.,2,2,2,2,2,2,4,2,4,5,1,1,3,1,5,2,1,2,2,1,2,1,1,4,2,2,3,2,4,1,2,3,2,2,2,2,1,4,1,3,4,2,3,3,2,2,1,1,4,1,1,4,4,1,2,5,3,2,1,4
i wish i had money to travel. i have an iq of 250. my parents died in a plane crash. i live alone with my dog.,1,5,2,1,2,2,2,2,2,5,2,2,2,4,5,5,2,2,4,4,2,2,2,2,1,4,2,2,2,2,4,2,2,2,2,2,2,2,5,5,2,4,2,2,1,2,4,2,1,2,1,4,2,5,2,2,2,4,4,5
i have black hair. i am a cheerleader. i am 21 years old. i enjoy the outdoors. i live on a ranch.,5,5,2,4,2,5,5,1,5,4,1,2,5,2,4,2,1,2,4,2,5,2,2,5,2,1,4,4,4,1,2,5,2,2,2,2,1,5,2,4,5,2,5,4,2,4,1,2,4,2,2,5,5,1,2,5,4,2,2,4
i like to listen to music. i have a boxer dog. my father lives in china. i like baths. i like to exercise.,2,4,2,4,2,3,4,2,4,3,2,1,4,2,3,3,1,2,2,4,2,1,2,4,5,2,3,2,4,2,2,4,2,2,3,3,1,4,2,3,4,2,4,4,2,2,1,1,4,1,2,4,4,2,4,4,4,2,2,3
i hate red meat. i love watching sunsets. my hair is brown and curly. i live near the ocean. i love to surf.,4,5,2,5,2,2,5,2,4,4,2,1,4,2,4,4,1,2,2,4,2,1,2,5,2,2,4,2,4,2,4,4,2,2,5,3,1,2,2,4,4,2,4,4,2,2,1,2,4,2,2,4,2,2,2,4,4,2,2,4
i like to watch tv. i make 30k a year. i love mac and cheese. i like to sit on couch all day. i make cars for a living.,1,2,4,4,4,2,3,5,2,2,4,2,4,3,2,4,2,2,2,1,2,1,5,4,5,5,3,4,2,4,4,2,2,2,2,4,2,2,2,2,1,2,2,2,4,1,2,4,4,4,2,3,2,4,5,2,2,4,2,2
i earn passive income that no one knows about. my dreams are often bizarre. i go surfing any chance i get. i could never be locked down to one partner. my favorite band is the muggers.,4,2,4,5,1,5,3,2,4,5,1,2,1,4,5,1,2,1,2,4,2,2,2,4,2,1,2,5,2,1,2,2,1,2,4,2,2,2,2,5,5,2,2,2,1,2,4,2,4,2,1,2,2,1,2,5,2,5,2,5
"i enjoy karaoke every friday night. i am allergic to apples yet still eat them. i am a sixth grade teacher. i enjoy crosswords , crocheting , and football. i coach the girls volley ball team.",5,5,2,4,1,4,5,1,4,5,1,1,5,2,3,2,1,4,4,2,4,1,2,4,2,2,4,4,4,2,2,5,2,2,4,2,1,4,2,4,4,2,5,4,2,4,1,1,2,1,1,5,5,1,2,5,4,4,2,3
i wear dingy clothes. i have often been called a slacker. i am a weirdo. i have blue and orange hair. i ride a skateboard.,2,4,5,4,1,2,4,5,2,5,2,2,1,5,4,2,2,1,2,5,1,2,5,2,2,4,4,5,2,1,4,2,1,2,5,4,4,1,4,4,4,2,2,1,2,2,2,5,2,5,1,2,2,4,2,2,2,5,4,5
i play tabletop games with friends. i need to use an inhaler sometimes. i love rpg computer games. i still live at home.,2,4,4,2,2,2,4,3,3,4,2,2,3,3,3,4,2,2,4,2,2,2,4,3,2,4,4,4,3,2,4,4,2,4,2,4,2,2,2,4,2,2,3,3,2,2,2,2,2,2,2,4,3,2,2,4,3,4,2,2
i m allergic to shellfish. my favorite food is cheese. i like horseback riding. i work at a non profit that helps children.,4,5,2,4,4,3,5,1,4,4,2,1,5,2,4,3,1,3,3,3,2,1,2,4,2,2,4,2,4,2,2,5,4,2,3,2,1,4,2,4,4,2,5,4,2,3,1,1,4,2,2,5,5,2,2,4,5,2,2,4
i like victorian things. i like jazz. i collect dolls. i am a romantic. i like antiques.,2,5,2,2,1,1,5,1,4,4,2,1,2,4,2,4,1,2,2,5,1,1,1,1,2,2,1,1,2,1,4,4,4,2,5,2,1,2,4,5,2,1,2,2,1,2,1,1,2,1,2,5,2,1,2,4,4,1,4,2
i am on a low carb diet. i am trying to become a male model in hollywood. i recently had a private lunch with will ferrell. i overcame urinary cancer at age 18. i am a huge fan of classical jazz.,5,5,1,4,1,5,5,1,5,5,1,2,5,2,4,2,1,4,4,5,5,1,1,5,2,1,5,2,4,1,2,5,4,2,5,2,1,5,2,5,5,2,5,5,2,4,2,1,4,1,1,5,5,1,2,5,4,2,2,4
i live in nashville. i work in academia at a local university. i play music in my spare time. i like to go to the farmers market every weekend. i am committed to the environment.,4,5,2,4,1,2,5,1,4,5,2,2,4,2,4,2,1,4,3,5,2,1,2,4,1,2,4,1,4,1,4,5,4,3,5,2,1,4,2,5,4,2,5,4,2,2,1,1,3,1,2,5,4,2,2,4,4,2,2,4
my husband works for the government. i like going on walks. i run a small bakery. i love to laugh. i have a son.,4,5,2,4,2,2,5,1,4,4,2,1,5,2,4,2,1,2,2,2,2,1,2,4,2,2,4,2,4,1,2,5,4,2,4,2,1,4,1,3,4,2,5,4,2,4,1,1,4,2,2,5,4,1,2,5,4,2,2,4
i like to play sports and get fresh air. i have been in 2 car crashes in my life. food and water are essential to me in life. i like watching tv in my free time as well. i am going to school to get a degree now.,2,3,2,3,4,2,4,1,4,3,2,1,4,2,2,2,1,2,3,1,2,1,2,4,4,2,3,4,4,2,2,3,2,2,1,3,1,4,2,2,4,2,4,3,2,2,1,1,2,5,1,4,4,2,4,4,3,2,2,2
"i am 5 3 an love movie time. i am a true believer in god first. i am a fitness guru. i am a carefree , unloving , free spirited person.",4,1,2,5,2,4,2,1,5,4,1,2,2,2,4,2,4,1,2,2,2,2,2,5,4,1,2,5,2,2,1,2,2,1,2,2,4,2,1,2,5,2,2,2,2,2,4,4,4,4,1,2,2,1,4,5,2,5,2,4
i am a lover of italian food. my favorite band is iron maiden. my father has a very prestigious job. i enjoy making d models for video games and animations.,2,3,2,2,1,4,5,2,4,5,1,2,4,2,5,2,2,2,4,5,2,2,2,4,2,2,4,2,4,1,2,4,2,2,4,2,2,4,2,4,4,2,4,4,1,2,2,2,2,2,2,4,5,2,2,5,4,2,2,4
"i am a sixth grade teacher. i enjoy karaoke every friday night. i am allergic to apples yet still eat them. i coach the girls volley ball team. i enjoy crosswords , crocheting , and football.",5,5,2,4,1,4,5,1,4,5,1,1,5,2,4,2,1,4,4,4,4,1,2,5,2,2,4,4,4,1,2,5,2,2,4,2,1,4,2,4,5,2,5,4,2,4,1,1,3,2,1,5,5,1,2,5,4,4,2,4
my father is a retired police officer. i have bowled a 300 game twice in my life. i like to build furniture. i have been held hostage in a store robbery situation. i clean houses for extra money.,2,4,1,2,2,4,5,1,5,4,2,2,5,2,4,2,1,4,4,2,2,1,2,4,4,2,4,2,4,2,2,5,5,4,2,2,1,5,2,4,3,4,5,4,2,2,2,1,2,2,1,5,5,2,4,3,2,2,2,2
i like to wear red. i use red lipstick. i like to wear red shoes also. i drive a red car. i wear a red purse.,5,2,1,2,1,5,5,1,5,2,1,1,4,1,5,1,1,5,3,2,5,1,2,5,5,1,3,2,5,1,1,3,2,2,5,1,1,2,1,2,5,1,4,2,1,5,1,1,5,3,1,3,3,1,5,5,3,2,5,5
"i like to play soccer. i am seven years old. and , my best friend is cayden. i just got my rejection letter from the gifted program.",4,4,2,2,5,2,4,1,2,2,2,1,2,4,2,2,1,2,4,1,2,1,2,2,5,1,3,4,2,1,2,4,2,4,2,4,1,2,4,2,5,1,2,2,2,2,1,2,2,5,1,4,2,4,5,5,3,2,4,2
favorite band is red hot chilli peppers. i love cold weather. i work two jobs as a cashier. i love non gmo foods. i love dark clothes.,2,4,2,2,1,2,5,2,4,4,2,2,4,4,2,4,2,2,4,5,2,2,2,4,2,2,4,2,3,2,4,4,2,2,4,4,2,4,2,4,2,2,4,2,2,2,2,2,2,2,2,5,5,2,2,4,3,2,2,3
as long as i have a cup of coffee in my hand i am a happy person. i listen to pink when i am painting. my wife makes the best pasta. it takes me an hour to drive to work in the morning.,2,4,2,5,1,2,5,2,5,3,1,1,4,2,2,2,1,2,2,4,2,1,2,5,2,2,4,2,5,1,2,4,2,2,4,2,1,2,1,2,4,2,4,2,2,2,1,2,4,1,2,4,4,1,2,5,4,2,2,3
my favorite book is jane austins pride and prejudice. i like going barefoot. my sister is a guitarist. i can knit.,2,5,2,4,2,2,5,2,4,4,2,2,4,2,4,4,1,2,2,5,2,1,2,4,2,2,4,4,4,1,4,4,2,2,4,4,1,2,2,4,2,2,4,2,2,2,1,2,2,1,2,5,3,2,2,4,4,2,2,4
playing quake on slackware linux makes me happy. i have three dogs and two cats. i like to use a lot of exclamation marks when i type. i live in chicago.,2,5,1,4,1,5,5,1,5,5,1,1,4,1,5,1,1,1,2,1,2,1,1,5,1,1,4,4,4,1,1,5,1,1,4,1,1,2,1,4,5,1,4,1,1,5,1,1,4,1,1,5,5,1,1,5,5,4,1,5
i am in love with a girl who is unaware of it. i really wanted to be an actor. both of my parents are doctors. i am in medical school.,2,5,2,2,2,2,5,1,4,4,2,2,4,4,2,4,1,4,4,4,2,1,2,2,2,2,3,2,2,2,4,4,2,5,4,4,1,4,4,5,2,2,4,2,2,2,2,1,2,1,2,4,5,4,2,2,2,2,2,2
i just started college. i work part time in the campus library. i am living at home but hope to live in the dorms next year. i have 3 science classes.,2,4,2,2,4,2,5,2,4,4,2,2,4,2,2,4,2,4,4,2,2,1,2,3,2,2,3,3,3,2,4,4,3,4,2,2,1,4,2,3,3,2,4,3,2,2,2,2,2,2,2,4,4,2,2,3,4,2,2,2
my favorite band is imagine dragons. i work many hours. i like basketball. i m from texas. i am a father.,2,4,2,2,2,4,5,1,4,2,2,2,5,2,2,2,1,2,4,4,4,2,2,4,4,2,4,2,4,2,2,4,2,4,4,2,2,5,2,3,4,2,5,4,2,2,2,2,2,2,1,4,5,2,2,4,4,2,2,2
i have a strange obsession with pens. i enjoy writing for long periods of time. i wish i did not have to work. i wish i made more money.,1,3,2,2,1,2,3,5,2,2,2,1,2,4,2,4,1,2,4,4,1,1,2,2,2,2,3,2,2,1,4,2,2,4,4,4,1,2,4,5,2,2,2,2,2,2,1,2,2,1,1,4,4,4,2,4,3,2,2,2
i help around with bookkeeping and tours. sometimes i volunteer at an urban farm. i am vegan. i work at the grocery store.,2,5,2,4,4,2,5,1,4,4,2,1,4,2,3,4,1,4,2,2,2,1,2,4,2,2,4,2,4,2,4,5,4,2,2,4,1,4,2,4,3,2,5,4,2,2,1,1,4,1,2,5,4,2,2,4,4,1,1,3
i love to hunt. my favorite color is blue. my mother was a piano teacher. i grew up in the deep south.,2,3,2,4,2,4,5,1,4,3,2,2,4,2,2,2,2,2,4,4,4,2,2,5,2,4,4,2,4,2,2,4,2,2,4,2,2,4,2,4,4,2,5,4,2,2,2,2,4,2,1,5,5,1,4,5,4,2,2,3
i like the tv show the walking dead. i like to hunt. i love the tigers baseball team. i am thin.,2,2,2,2,4,2,4,1,4,4,2,2,4,2,2,2,2,2,2,1,2,1,2,4,4,2,3,2,4,2,2,4,2,2,2,2,1,4,2,2,4,2,4,4,2,2,2,2,2,5,1,4,4,1,4,5,2,2,1,2
